"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2023/12/04","22:36","0.544","-","0.752"
"2023/12/04","22:42","0.544","-","0.764"
"2023/12/04","22:48","0.543","-","0.742"
"2023/12/04","22:54","0.543","-","0.732"
"2023/12/04","23:00","0.542","-","0.735"
"2023/12/04","23:06","0.541","-","0.743"
"2023/12/04","23:12","0.539","-","0.748"
"2023/12/04","23:18","0.537","-","0.765"
"2023/12/04","23:24","0.535","-","0.746"
"2023/12/04","23:30","0.533","-","0.766"
"2023/12/04","23:36","0.531","-","0.731"
"2023/12/04","23:42","0.528","-","0.718"
"2023/12/04","23:48","0.525","-","0.738"
"2023/12/04","23:54","0.522","-","0.731"
"2023/12/05","00:00","0.519","-","0.745"
"2023/12/05","00:06","0.516","-","0.722"
"2023/12/05","00:12","0.512","-","0.697"
"2023/12/05","00:18","0.508","-","0.734"
"2023/12/05","00:24","0.505","-","0.696"
"2023/12/05","00:30","0.501","-","0.712"
"2023/12/05","00:36","0.497","-","0.685"
"2023/12/05","00:42","0.493","-","0.694"
"2023/12/05","00:48","0.489","-","0.687"
"2023/12/05","00:54","0.485","-","0.683"
"2023/12/05","01:00","0.481","-","0.658"
"2023/12/05","01:06","0.477","-","0.659"
"2023/12/05","01:12","0.474","-","0.672"
"2023/12/05","01:18","0.47","-","0.652"
"2023/12/05","01:24","0.466","-","0.66"
"2023/12/05","01:30","0.462","-","0.651"
"2023/12/05","01:36","0.459","-","0.633"
"2023/12/05","01:42","0.455","-","0.619"
"2023/12/05","01:48","0.452","-","0.641"
"2023/12/05","01:54","0.449","-","0.645"
"2023/12/05","02:00","0.446","-","0.591"
"2023/12/05","02:06","0.443","-","0.633"
"2023/12/05","02:12","0.44","-","0.61"
"2023/12/05","02:18","0.437","-","0.575"
"2023/12/05","02:24","0.435","-","0.587"
"2023/12/05","02:30","0.432","-","0.623"
"2023/12/05","02:36","0.43","-","0.626"
"2023/12/05","02:42","0.428","-","0.559"
"2023/12/05","02:48","0.427","-","0.57"
"2023/12/05","02:54","0.425","-","0.596"
"2023/12/05","03:00","0.424","-","0.565"
"2023/12/05","03:06","0.423","-","0.591"
"2023/12/05","03:12","0.422","-","0.603"
"2023/12/05","03:18","0.421","-","0.601"
"2023/12/05","03:24","0.421","-","0.546"
"2023/12/05","03:30","0.42","-","0.577"
"2023/12/05","03:36","0.42","-","0.548"
"2023/12/05","03:42","0.421","-","0.56"
"2023/12/05","03:48","0.421","-","0.58"
"2023/12/05","03:54","0.422","-","0.572"
"2023/12/05","04:00","0.422","-","0.553"
"2023/12/05","04:06","0.423","-","0.561"
"2023/12/05","04:12","0.425","-","0.571"
"2023/12/05","04:18","0.426","-","0.575"
"2023/12/05","04:24","0.428","-","0.569"
"2023/12/05","04:30","0.429","-","0.589"
"2023/12/05","04:36","0.431","-","0.594"
"2023/12/05","04:42","0.434","-","0.603"
"2023/12/05","04:48","0.436","-","0.602"
"2023/12/05","04:54","0.439","-","0.605"
"2023/12/05","05:00","0.441","-","0.607"
"2023/12/05","05:06","0.444","-","0.614"
"2023/12/05","05:12","0.447","-","0.606"
"2023/12/05","05:18","0.45","-","0.597"
"2023/12/05","05:24","0.454","-","0.595"
"2023/12/05","05:30","0.457","-","0.601"
"2023/12/05","05:36","0.461","-","0.618"
"2023/12/05","05:42","0.464","-","0.611"
"2023/12/05","05:48","0.468","-","0.627"
"2023/12/05","05:54","0.472","-","0.641"
"2023/12/05","06:00","0.476","-","0.66"
"2023/12/05","06:06","0.48","-","0.637"
"2023/12/05","06:12","0.484","-","0.651"
"2023/12/05","06:18","0.488","-","0.637"
"2023/12/05","06:24","0.493","-","0.629"
"2023/12/05","06:30","0.497","-","0.638"
"2023/12/05","06:36","0.501","-","0.639"
"2023/12/05","06:42","0.506","-","0.658"
"2023/12/05","06:48","0.51","-","0.66"
"2023/12/05","06:54","0.514","-","0.63"
